dataset,avg_explanation_time,min_explanation_time,max_explanation_time,avg_explanation_length,min_explanation_length,max_explanation_length,coverage_avg,sum_explanations_time,time_seconds
ann-thyroid,0.0727740122212304,0.023694753646850586,0.1652669906616211,2,1,20,86.54166666666667,52.39728879928589,52.39728879928589
appendicitis,0.01584489400996718,0.0060672760009765625,0.034824371337890625,4,2,7,42.52491694352159,0.6813304424285889,0.6813304424285889
banknote,0.012244084606999937,0.00859212875366211,0.03333020210266113,2,2,4,29.71014492753623,1.6896836757659912,1.6896836757659912
biodegradation,0.1374159983868869,0.014615058898925781,1.079833745956421,21,7,39,45.81519109820997,14.56609582901001,14.56609582901001
ecoli,0.05263442342931574,0.023794174194335938,0.13954687118530273,4,3,6,21.717171717171716,3.473871946334839,3.473871946334839
glass2,0.015274340456182306,0.00852203369140625,0.04869556427001953,6,2,9,24.747474747474747,1.0081064701080322,1.0081064701080322
heart-c,0.01814031991802278,0.007857322692871094,0.05794930458068848,8,4,13,33.16519546027743,1.1065595149993896,1.1065595149993896
ionosphere,0.014449210234091316,0.009330987930297852,0.04553842544555664,27,22,33,17.968416559965856,1.0258939266204834,1.0258939266204834
iris,0.009800794389512804,0.00027179718017578125,0.05961108207702637,3,1,4,13.75,1.6516518592834473,1.6516518592834473
karhunen,0.2153913676738739,0.06044292449951172,2.898184061050415,61,28,64,3.5078125,43.07827353477478,43.07827353477478
letter,0.11657756388187408,0.06697726249694824,1.2503912448883057,15,7,16,1.375,46.631025552749634,46.631025552749634
magic,0.05124152301177578,0.030408382415771484,0.08825016021728516,7,4,10,23.753280839895012,19.523020267486572,19.523020267486572
mofn-3-7-10,0.01329011486885243,0.00889277458190918,0.05203127861022949,3,2,10,67.81954887218045,1.767585277557373,1.767585277557373
new-thyroid,0.03481958078783612,0.01976919174194336,0.06560778617858887,3,3,5,29.302325581395348,1.4972419738769531,1.4972419738769531
pendigits,0.08589350852099333,0.04148554801940918,0.6588106155395508,15,10,16,2.8125,18.89657187461853,18.89657187461853
phoneme,0.05085867566233862,0.023413419723510742,0.11307477951049805,3,2,5,31.497227356746766,27.514543533325195,27.514543533325195
ring,0.12603142164848946,0.02109670639038086,0.5161688327789307,12,1,20,39.57432432432432,93.2632520198822,93.2632520198822
segmentation,0.06755629039946057,0.029193401336669922,0.20071959495544434,15,8,18,11.375661375661375,2.8373641967773438,2.8373641967773438
shuttle,0.07989776196150944,0.02352619171142578,0.1568598747253418,3,2,9,61.28352490421456,92.68140387535095,92.68140387535095
sonar,0.031352423486255464,0.014239311218261719,0.18311691284179688,48,26,60,18.96825396825397,1.3168017864227295,1.3168017864227295
spambase,0.03651128932348818,0.0175018310546875,0.13312959671020508,43,17,55,21.71563794123447,16.83170437812805,16.83170437812805
spectf,0.019753290547264945,0.00012159347534179688,0.23311090469360352,11,1,44,49.91582491582491,2.126150131225586,2.126150131225586
texture,0.10923766873099587,0.04902982711791992,1.4600937366485596,38,17,40,4.3954545454545455,60.08071780204773,60.08071780204773
threeOf9,0.004710935851902637,0.004052639007568359,0.03041219711303711,3,1,8,50.12135922330097,0.4852263927459717,0.4852263927459717
twonorm,0.011682066724107073,0.007961034774780273,0.03940939903259277,15,7,20,23.804054054054053,8.644729375839233,8.644729375839233
vowel,0.10861732863416576,0.05195951461791992,0.8267383575439453,12,6,13,4.351204351204351,21.50623106956482,21.50623106956482
waveform-21,0.09514988613128662,0.03604578971862793,0.8086764812469482,16,6,21,22.590476190476192,47.57494306564331,47.57494306564331
waveform-40,0.1384461750984192,0.0416872501373291,1.6487958431243896,33,8,40,16.015,69.2230875492096,69.2230875492096
wdbc,0.02527841977905809,0.00945901870727539,0.06921148300170898,17,8,30,41.228070175438596,2.881739854812622,2.881739854812622
wine-recog,0.03372451663017273,0.021122455596923828,0.07435488700866699,10,4,13,18.696581196581196,2.4281651973724365,2.4281651973724365
wpbc,0.29812457928290736,0.012526512145996094,2.281435251235962,20,14,33,38.38383838383839,23.253717184066772,23.253717184066772
xd6,0.012213342617719601,0.00840449333190918,0.03837299346923828,4,3,9,53.5042735042735,2.3816018104553223,2.3816018104553223
